"","gamma1","gamma2","dgamma","sbs","nchains","est","var","mse"
"66",1,1.5,0.5,10,10,1.8905305909067e-05,7.04422044350513e-13,2.30899537621869e-10
"67",1,1.5,0.5,50,1,3.85490424570041e-06,2.44627579443231e-13,2.94932627092234e-13
"68",1,1.5,0.5,50,5,1.20964382553211e-05,6.50576570217056e-13,7.03566939105444e-11
"69",1,1.5,0.5,50,10,1.09381415585687e-05,5.66797332704064e-13,5.16784974894717e-11
"70",1,1.5,0.5,100,1,3.70666121450794e-06,2.27659624569047e-13,2.72991426880197e-13
"71",1,1.5,0.5,100,5,8.77846648227719e-06,5.02114689887115e-13,2.55770154493365e-11
"72",1,1.5,0.5,100,10,8.34796511791336e-06,4.68543218940711e-13,2.12834354579921e-11
"73",1,2,1,10,1,3.59077605524047e-06,2.17647439993893e-13,4.5327172284193e-13
"74",1,2,1,10,5,4.43148791312407e-05,1.80466318269363e-12,1.65185350313969e-09
"75",1,2,1,10,10,4.04662925660863e-05,1.43715558958941e-12,1.35433154616932e-09
"76",1,2,1,50,1,3.85490424570041e-06,2.44627579443231e-13,2.94932627092234e-13
"77",1,2,1,50,5,2.41239983961778e-05,1.15267932807291e-12,4.1733230527241e-10
"78",1,2,1,50,10,2.10759370230344e-05,1.01257012900201e-12,3.00977040302557e-10
"79",1,2,1,100,1,3.70666121450794e-06,2.27659624569047e-13,2.72991426880197e-13
"80",1,2,1,100,5,1.64257095691205e-05,8.3716995626012e-13,1.61745552523094e-10
"81",1,2,1,100,10,1.47186481024615e-05,7.43008344248135e-13,1.20194229953156e-10
"82",1,2.5,1.5,10,1,3.59077605524047e-06,2.17647439993893e-13,4.5327172284193e-13
"83",1,2.5,1.5,10,5,7.11167253495818e-05,2.38435790817441e-12,4.56259720663749e-09
"84",1,2.5,1.5,10,10,6.7166652869053e-05,1.98551247170006e-12,4.03924944790199e-09
"85",1,2.5,1.5,50,1,3.85490424570041e-06,2.44627579443231e-13,2.94932627092234e-13
"86",1,2.5,1.5,50,5,3.62650481310871e-05,1.48536541760763e-12,1.06127640530189e-09
"87",1,2.5,1.5,50,10,3.31506424184199e-05,1.34181711203688e-12,8.66153647796827e-10
"88",1,2.5,1.5,100,1,3.70666121450794e-06,2.27659624569047e-13,2.72991426880197e-13
"89",1,2.5,1.5,100,5,2.34079145541004e-05,1.05058775538328e-12,3.88071289911801e-10
"90",1,2.5,1.5,100,10,2.20816711025339e-05,9.90592279537854e-13,3.36240658033567e-10
"91",1.5,0.5,-1,10,1,3.84951837794424e-06,4.47038592544417e-14,1.54251971447504e-12
"92",1.5,0.5,-1,10,5,3.2392050014592e-08,1.2310986127185e-16,1.42936035972859e-11
"93",1.5,0.5,-1,10,10,3.71393364960739e-08,1.09379214016767e-16,1.42577275925959e-11
"94",1.5,0.5,-1,50,1,3.87262467227883e-06,4.37257732531189e-14,1.50097362205571e-12
"95",1.5,0.5,-1,50,5,8.67462300799411e-07,7.146834474322e-15,8.74154584132319e-12
"96",1.5,0.5,-1,50,10,6.74616931101695e-07,4.37863940341468e-15,9.93775082926205e-12
"97",1.5,0.5,-1,100,1,4.13893567777885e-06,5.15363486373654e-14,1.87801006285653e-12
"98",1.5,0.5,-1,100,5,1.85545774989295e-06,1.97407157682912e-14,4.23939815755223e-12
"99",1.5,0.5,-1,100,10,1.74142024512328e-06,1.64878734062529e-14,4.61649630945748e-12
"100",1.5,1,-0.5,10,1,3.84951837794424e-06,4.47038592544417e-14,1.54251971447504e-12
"101",1.5,1,-0.5,10,5,3.24784498173608e-07,1.39738231437696e-15,1.21879772785178e-11
"102",1.5,1,-0.5,10,10,4.54590229598738e-07,1.6418529028948e-15,1.13127865537628e-11
"103",1.5,1,-0.5,50,1,3.87262467227883e-06,4.37257732531189e-14,1.50097362205571e-12
"104",1.5,1,-0.5,50,5,1.58666639374906e-06,1.36887236947372e-14,5.18312564885328e-12
"105",1.5,1,-0.5,50,10,1.38539808293574e-06,9.77862500694216e-15,6.23605071368754e-12
"106",1.5,1,-0.5,100,1,4.13893567777885e-06,5.15363486373654e-14,1.87801006285653e-12
"107",1.5,1,-0.5,100,5,2.48953514767546e-06,2.66515333807493e-14,2.48101369919116e-12
"108",1.5,1,-0.5,100,10,2.47511694354263e-06,2.43594418640563e-14,2.45540077822477e-12
"109",1.5,1.5,0,10,1,3.84951837794424e-06,4.47038592544417e-14,1.54251971447504e-12
"110",1.5,1.5,0,10,5,3.61712385336429e-06,1.64512829358886e-14,2.51129377817415e-12
"111",1.5,1.5,0,10,10,3.79027922043098e-06,1.28319110723527e-14,2.17355289106891e-12
"112",1.5,1.5,0,50,1,3.87262467227883e-06,4.37257732531189e-14,1.50097362205571e-12
"113",1.5,1.5,0,50,5,3.9753664304718e-06,3.09139233090461e-14,1.38220209872173e-12
"114",1.5,1.5,0,50,10,3.63101384505999e-06,2.50386060816091e-14,2.49872436410266e-12
"115",1.5,1.5,0,100,1,4.13893567777885e-06,5.15363486373654e-14,1.87801006285653e-12
"116",1.5,1.5,0,100,5,4.17194451977309e-06,4.14748832384169e-14,2.17723209758521e-12
"117",1.5,1.5,0,100,10,4.23428259108624e-06,3.9904223587238e-14,2.06605147326203e-12
"118",1.5,2,0.5,10,1,3.84951837794424e-06,4.47038592544417e-14,1.54251971447504e-12
"119",1.5,2,0.5,10,5,9.52696341821808e-06,3.95970955513088e-14,5.02953362968816e-11
"120",1.5,2,0.5,10,10,9.53256109988009e-06,3.25874926209508e-14,4.6818898101561e-11
"121",1.5,2,0.5,50,1,3.87262467227883e-06,4.37257732531189e-14,1.50097362205571e-12
"122",1.5,2,0.5,50,5,7.50839107529173e-06,5.12213170483507e-14,1.81815567585556e-11
"123",1.5,2,0.5,50,10,6.68404724442814e-06,4.232316917069e-14,1.65772376240941e-11
"124",1.5,2,0.5,100,1,4.13893567777885e-06,5.15363486373654e-14,1.87801006285653e-12
"125",1.5,2,0.5,100,5,6.46444980180426e-06,5.64386794012602e-14,1.19287097105012e-11
"126",1.5,2,0.5,100,10,6.51298586768915e-06,5.6219636485569e-14,1.18170643336268e-11
"127",1.5,2.5,1,10,1,3.84951837794424e-06,4.47038592544417e-14,1.54251971447504e-12
"128",1.5,2.5,1,10,5,1.22816535514537e-05,3.44980307644846e-14,1.00920034797437e-10
"129",1.5,2.5,1,10,10,1.27752263065114e-05,3.12670589069762e-14,1.05158692723397e-10
"130",1.5,2.5,1,50,1,3.87262467227883e-06,4.37257732531189e-14,1.50097362205571e-12
"131",1.5,2.5,1,50,5,9.34278126929209e-06,4.92857564538578e-14,3.77482692506866e-11
"132",1.5,2.5,1,50,10,8.52002184563522e-06,4.1042558624022e-14,3.56264143380872e-11
"133",1.5,2.5,1,100,1,4.13893567777885e-06,5.15363486373654e-14,1.87801006285653e-12
"134",1.5,2.5,1,100,5,7.69741530224571e-06,5.84542678781346e-14,2.20458450189948e-11
"135",1.5,2.5,1,100,10,7.99460902092375e-06,5.87528482961209e-14,2.4243631216447e-11
"136",2,0.5,-1.5,10,1,4.36743230366396e-06,2.93419661685349e-14,2.267180968387e-11
"137",2,0.5,-1.5,10,5,2.19925983569239e-08,8.58593398812303e-17,1.43728536933693e-11
"138",2,0.5,-1.5,10,10,3.62568225869372e-08,8.69970149752634e-17,1.42656353249861e-11
"139",2,0.5,-1.5,50,1,3.97644779185553e-06,2.9037778208827e-14,2.30973070321062e-11
"140",2,0.5,-1.5,50,5,1.03917616499746e-06,1.02444616833443e-14,9.55976063084952e-12
"141",2,0.5,-1.5,50,10,8.08705237773664e-07,5.28511931578965e-15,1.00334536512348e-11
"142",2,0.5,-1.5,100,1,4.60666923366126e-06,2.82852630046569e-14,1.96125891606648e-11
"143",2,0.5,-1.5,100,5,2.38197867213876e-06,2.42817796882557e-14,9.01016901913254e-12
"144",2,0.5,-1.5,100,10,2.68409721029739e-06,2.93163272818302e-14,1.09586631300001e-11
"145",2,1,-1,10,1,4.36743230366396e-06,2.93419661685349e-14,2.267180968387e-11
"146",2,1,-1,10,5,1.80421202934863e-07,7.38767747305988e-16,1.32477062719827e-11
"147",2,1,-1,10,10,3.24718798052763e-07,1.08997385685843e-15,1.22953400544005e-11
"148",2,1,-1,50,1,3.97644779185553e-06,2.9037778208827e-14,2.30973070321062e-11
"149",2,1,-1,50,5,1.68053388848047e-06,1.52472090018686e-14,8.98272487142093e-12
"150",2,1,-1,50,10,1.40793971813256e-06,9.00430703203842e-15,8.70649057890203e-12
"151",2,1,-1,100,1,4.60666923366126e-06,2.82852630046569e-14,1.96125891606648e-11
"152",2,1,-1,100,5,2.94488170526511e-06,2.81530029551244e-14,1.14503389490253e-11
"153",2,1,-1,100,10,3.40666354545812e-06,3.53900265389073e-14,1.55038052941333e-11
"154",2,1.5,-0.5,10,1,4.36743230366396e-06,2.93419661685349e-14,2.267180968387e-11
"155",2,1.5,-0.5,10,5,1.20205933528667e-06,5.90822510809534e-15,9.07982174991489e-12
"156",2,1.5,-0.5,10,10,1.74197991762936e-06,6.77920903135026e-15,7.96438071574885e-12
"157",2,1.5,-0.5,50,1,3.97644779185553e-06,2.9037778208827e-14,2.30973070321062e-11
"158",2,1.5,-0.5,50,5,2.87583725740931e-06,2.49358586636901e-14,1.49032033970504e-11
"159",2,1.5,-0.5,50,10,2.34445456782797e-06,1.41577652963886e-14,1.02355505112447e-11
"160",2,1.5,-0.5,100,1,4.60666923366126e-06,2.82852630046569e-14,1.96125891606648e-11
"161",2,1.5,-0.5,100,5,3.85901898517662e-06,3.30235335594222e-14,1.85922025534332e-11
"162",2,1.5,-0.5,100,10,4.45312302800153e-06,4.11339043821489e-14,2.62982662256421e-11
"163",2,2,0,10,1,4.36743230366396e-06,2.93419661685349e-14,2.267180968387e-11
"164",2,2,0,10,5,3.52330126099497e-06,1.04352149959619e-14,2.01461521055585e-11
"165",2,2,0,10,10,4.24215195826702e-06,1.00395042303604e-14,2.14594414266938e-11
"166",2,2,0,50,1,3.97644779185553e-06,2.9037778208827e-14,2.30973070321062e-11
"167",2,2,0,50,5,4.52514511812692e-06,2.68330207969929e-14,3.32048039242819e-11
"168",2,2,0,50,10,3.60928751891008e-06,1.56712606913579e-14,1.95507271783174e-11
"169",2,2,0,100,1,4.60666923366126e-06,2.82852630046569e-14,1.96125891606648e-11
"170",2,2,0,100,5,5.0088845157878e-06,3.22241180657674e-14,3.23524364754384e-11
"171",2,2,0,100,10,5.73566994651196e-06,4.06232767114361e-14,4.60566834939545e-11
"172",2,2.5,0.5,10,1,4.36743230366396e-06,2.93419661685349e-14,2.267180968387e-11
"173",2,2.5,0.5,10,5,3.86084420861953e-06,1.26656419664748e-14,2.43885387191504e-11
"174",2,2.5,0.5,10,10,4.68287881057653e-06,1.19038547347819e-14,2.69360569199484e-11
"175",2,2.5,0.5,50,1,3.97644779185553e-06,2.9037778208827e-14,2.30973070321062e-11
"176",2,2.5,0.5,50,5,5.01218711617793e-06,2.58887849193331e-14,4.10881760616202e-11
"177",2,2.5,0.5,50,10,4.03478917206047e-06,1.58401457497335e-14,2.42174209472306e-11
"178",2,2.5,0.5,100,1,4.60666923366126e-06,2.82852630046569e-14,1.96125891606648e-11
"179",2,2.5,0.5,100,5,5.40960561414761e-06,3.13460885774377e-14,3.90191293600752e-11
"180",2,2.5,0.5,100,10,6.28332449284787e-06,4.05217003906781e-14,5.77865785022245e-11
"181",2.5,0.5,-2,10,1,3.20619580952453e-06,5.07237678234034e-14,4.28278047226408e-11
"182",2.5,0.5,-2,10,5,6.382951378727e-08,1.19643720264003e-15,1.40836667032028e-11
"183",2.5,0.5,-2,10,10,2.1462560019727e-07,1.15132010637455e-14,1.35209843761848e-11
"184",2.5,0.5,-2,50,1,5.51675955698987e-06,2.10844995193036e-13,2.15632020230545e-10
"185",2.5,0.5,-2,50,5,1.0151888764541e-06,2.01320493243983e-14,1.6282447351161e-11
"186",2.5,0.5,-2,50,10,2.54666737503955e-06,6.53963907757161e-14,3.29625096258734e-11
"187",2.5,0.5,-2,100,1,8.56721651310933e-06,5.92970084071676e-13,5.58039507916095e-10
"188",2.5,0.5,-2,100,5,3.66423813436633e-06,1.91195880377277e-13,1.43623552970008e-10
"189",2.5,0.5,-2,100,10,3.72215169391442e-06,1.27454687049531e-13,1.05913142448798e-10
"190",2.5,1,-1.5,10,1,3.20619580952453e-06,5.07237678234034e-14,4.28278047226408e-11
"191",2.5,1,-1.5,10,5,4.43477099841126e-07,8.89594445519614e-15,1.25972251637261e-11
"192",2.5,1,-1.5,10,10,1.8539408894365e-06,1.49272377691813e-13,5.51019578870989e-11
"193",2.5,1,-1.5,50,1,5.51675955698987e-06,2.10844995193036e-13,2.15632020230545e-10
"194",2.5,1,-1.5,50,5,1.54886515066831e-06,2.95487883218477e-14,2.5124306033845e-11
"195",2.5,1,-1.5,50,10,3.97579369040921e-06,9.59974060877874e-14,7.51838828575330e-11
"196",2.5,1,-1.5,100,1,8.56721651310933e-06,5.92970084071676e-13,5.58039507916095e-10
"197",2.5,1,-1.5,100,5,4.27910043913331e-06,2.0119310749449e-13,1.95629209058575e-10
"198",2.5,1,-1.5,100,10,4.51456566834076e-06,1.5616947950107e-13,1.62673975174092e-10
"199",2.5,1.5,-1,10,1,3.20619580952453e-06,5.07237678234034e-14,4.28278047226408e-11
"200",2.5,1.5,-1,10,5,2.65440529039126e-06,7.5414828392571e-14,4.64505578074644e-11
"201",2.5,1.5,-1,10,10,7.48244207399633e-06,6.74719848618796e-13,8.0103026643101e-10
"202",2.5,1.5,-1,50,1,5.51675955698987e-06,2.10844995193036e-13,2.15632020230545e-10
"203",2.5,1.5,-1,50,5,2.32071705725222e-06,4.22429662001731e-14,4.73408887230537e-11
"204",2.5,1.5,-1,50,10,5.69096993181082e-06,1.31099513863523e-13,1.53056737861626e-10
"205",2.5,1.5,-1,100,1,8.56721651310933e-06,5.92970084071676e-13,5.58039507916095e-10
"206",2.5,1.5,-1,100,5,5.00533730002503e-06,2.01628437505268e-13,2.62191453993858e-10
"207",2.5,1.5,-1,100,10,5.2029791658349e-06,1.63552403302848e-13,2.12800018267155e-10
"208",2.5,2,-0.5,10,1,3.20619580952453e-06,5.07237678234034e-14,4.28278047226408e-11
"209",2.5,2,-0.5,10,5,6.36714294502156e-06,1.35638227967792e-13,2.58611937006384e-10
"210",2.5,2,-0.5,10,10,1.38191193063222e-05,8.51330060122889e-13,2.87089619637162e-09
"211",2.5,2,-0.5,50,1,5.51675955698987e-06,2.10844995193036e-13,2.15632020230545e-10
"212",2.5,2,-0.5,50,5,3.00191911796351e-06,4.46746751838656e-14,7.60365664450414e-11
"213",2.5,2,-0.5,50,10,6.75803816297533e-06,1.34913007767849e-13,2.25795438333145e-10
"214",2.5,2,-0.5,100,1,8.56721651310933e-06,5.92970084071676e-13,5.58039507916095e-10
"215",2.5,2,-0.5,100,5,5.49067467766473e-06,2.04027339452744e-13,3.18254886779903e-10
"216",2.5,2,-0.5,100,10,5.56048717906419e-06,1.86312702684799e-13,2.44517509883868e-10
"217",2.5,2.5,0,10,1,3.20619580952453e-06,5.07237678234034e-14,4.28278047226408e-11
"218",2.5,2.5,0,10,5,5.74428859394423e-06,1.02936374475568e-13,2.10103959863663e-10
"219",2.5,2.5,0,10,10,1.21688171604297e-05,7.6935967265174e-13,2.26289196473146e-09
"220",2.5,2.5,0,50,1,5.51675955698987e-06,2.10844995193036e-13,2.15632020230545e-10
"221",2.5,2.5,0,50,5,2.62005184054085e-06,3.99971366800156e-14,5.85749252801485e-11
"222",2.5,2.5,0,50,10,5.72774186710593e-06,1.14426043928054e-13,1.58417481558744e-10
"223",2.5,2.5,0,100,1,8.56721651310933e-06,5.92970084071676e-13,5.58039507916095e-10
"224",2.5,2.5,0,100,5,4.8399276863271e-06,2.33060348547036e-13,2.43496270275125e-10
"225",2.5,2.5,0,100,10,4.96172675983374e-06,1.85590702201227e-13,1.95722071155718e-10
