"","gamma1","gamma2","dgamma","sbs","nchains","est","var","sample_var","mse"
"93",1,1,0,100,1,1.14168577022652e-09,1.60061075730019e-18,1.46820529232337e-18,1.65882971446144e-18
"94",1,1,0,100,2,1.58394039134827e-09,2.65274423231275e-18,2.72636532883749e-18,2.67255490818589e-18
"95",1,1,0,100,5,1.12638310260304e-09,2.45443446065526e-18,2.8062063232857e-18,2.98465969683467e-18
"96",1,1,0,100,10,1.6083261819736e-09,3.17523259385287e-18,2.96046643582538e-18,2.90126281411867e-18
"97",1,1.5,0.5,1,1,1.52460481371857e-09,2.18676271359112e-18,1.90819135342496e-18,1.8774425106601e-18
"98",1,1.5,0.5,1,2,6.96456711879473e-09,1.17623059262555e-17,1.34916780633549e-17,4.18855757609241e-17
"99",1,1.5,0.5,1,5,2.1730160700669e-08,3.0870515161717e-17,2.38506866809765e-17,4.2816576354802e-16
"100",1,1.5,0.5,1,10,2.08711501168998e-08,2.08823852036421e-17,1.86558379851583e-17,3.8924707761699e-16
"101",1,1.5,0.5,10,1,1.41760366513938e-09,2.65250595855731e-18,2.51749219663203e-18,2.50443438547725e-18
"102",1,1.5,0.5,10,2,8.21636308482392e-09,1.38910303203088e-17,1.62553918982635e-17,5.95648691372303e-17
"103",1,1.5,0.5,10,5,1.52839087410059e-08,2.41994527258986e-17,2.15708153307668e-17,2.08095622908087e-16
"104",1,1.5,0.5,10,10,1.56460158244515e-08,2.50966445741325e-17,1.62413417617817e-17,2.1290618087963e-16
"105",1,1.5,0.5,50,1,1.72489639116175e-09,3.07428487230236e-18,3.28400663883269e-18,3.2313638694618e-18
"106",1,1.5,0.5,50,2,8.89017351064992e-09,1.4734496508863e-17,1.66145031057351e-17,6.92727275508322e-17
"107",1,1.5,0.5,50,5,1.03553660728467e-08,1.84577094120239e-17,1.52647667255732e-17,9.14283917334526e-17
"108",1,1.5,0.5,50,10,7.20500223909524e-09,1.21214973850595e-17,1.20788495697446e-17,4.31333209845821e-17
"109",1,1.5,0.5,100,1,1.14168577022652e-09,1.60061075730019e-18,1.46820529232337e-18,1.65882971446144e-18
"110",1,1.5,0.5,100,2,1.00498340591063e-08,1.72217343032756e-17,1.98668110888687e-17,9.06882033888124e-17
"111",1,1.5,0.5,100,5,7.72452001489178e-09,1.45867922867463e-17,1.59625803098673e-17,5.30219390351136e-17
"112",1,1.5,0.5,100,10,5.4084344434471e-09,8.11253580756596e-18,9.47615210313743e-18,2.37093011447609e-17
"113",1,2,1,1,1,1.52460481371857e-09,2.18676271359112e-18,1.90819135342496e-18,1.8774425106601e-18
"114",1,2,1,1,2,1.29237038903731e-08,2.41425895091324e-17,3.11773127682006e-17,1.58537481502926e-16
"115",1,2,1,1,5,6.02791419393941e-08,9.62014102833768e-17,1.31086762951715e-16,3.57044933352608e-15
"116",1,2,1,1,10,6.44462208258682e-08,8.31676477620636e-17,1.14529273963407e-16,4.06053946619347e-15
"117",1,2,1,10,1,1.41760366513938e-09,2.65250595855731e-18,2.51749219663203e-18,2.50443438547725e-18
"118",1,2,1,10,2,1.40225532838857e-08,2.4405877650145e-17,1.86185297721133e-17,1.72299885861607e-16
"119",1,2,1,10,5,6.31091182206584e-08,1.07650970753294e-16,1.72042766009228e-16,3.9506554950088e-15
"120",1,2,1,10,10,5.00351964073566e-08,8.18095546619518e-17,1.14358054068054e-16,2.4570012812423e-15
"121",1,2,1,50,1,1.72489639116175e-09,3.07428487230236e-18,3.28400663883269e-18,3.2313638694618e-18
"122",1,2,1,50,2,2.85085378654609e-08,5.08163814441544e-17,4.85112647063086e-17,7.71033908028416e-16
"123",1,2,1,50,5,5.35837624641735e-08,9.36749652959644e-17,1.41159083915873e-16,2.83953355280574e-15
"124",1,2,1,50,10,3.19161248560199e-08,5.18344210859488e-17,5.3094849629083e-17,9.70450812096088e-16
"125",1,2,1,100,1,1.14168577022652e-09,1.60061075730019e-18,1.46820529232337e-18,1.65882971446144e-18
"126",1,2,1,100,2,3.7753471965216e-08,6.92564143770088e-17,8.03613610756154e-17,1.38505300645494e-15
"127",1,2,1,100,5,4.34499866266611e-08,7.8982838851979e-17,7.54236139636113e-17,1.82443978215688e-15
"128",1,2,1,100,10,2.48080296805591e-08,4.17873805605296e-17,5.13548333534294e-17,5.884431396545e-16
"129",1.5,0.5,-1,1,1,1.48876802794211e-09,1.44826369916895e-19,3.80183977896714e-19,3.87451390829414e-19
"130",1.5,0.5,-1,1,2,0,0,0,2.59440318761643e-18
"131",1.5,0.5,-1,1,5,0,0,0,2.59440318761643e-18
"132",1.5,0.5,-1,1,10,0,0,0,2.59440318761643e-18
"133",1.5,0.5,-1,10,1,1.58489711337424e-09,1.5802835739361e-19,4.35209497230191e-19,4.27171876588538e-19
"134",1.5,0.5,-1,10,2,0,0,0,2.59440318761643e-18
"135",1.5,0.5,-1,10,5,1.87777911700564e-12,7.97137759124385e-23,7.76254419784422e-23,2.58843365218429e-18
"136",1.5,0.5,-1,10,10,2.99543819035204e-13,4.49279462990965e-24,4.48632497610974e-24,2.59344271442645e-18
"137",1.5,0.5,-1,50,1,1.66008794727999e-09,1.62970693608452e-19,4.68542814848589e-19,4.61609634937288e-19
"138",1.5,0.5,-1,50,2,3.05212982986644e-11,1.53641509889105e-21,1.07364634714968e-21,2.498064677576e-18
"139",1.5,0.5,-1,50,5,1.6843877611006e-10,1.19601750744978e-20,1.51219106630402e-20,2.09498051547871e-18
"140",1.5,0.5,-1,50,10,9.86938829470159e-11,4.81682292239128e-21,6.03032472810545e-21,2.29211792997637e-18
"141",1.5,0.5,-1,100,1,1.7332552854432e-09,1.74762157933667e-19,3.62595195819e-19,3.70359384823956e-19
"142",1.5,0.5,-1,100,2,2.42247742563143e-10,1.69832357565381e-20,1.87209733943461e-20,1.89104950838626e-18
"143",1.5,0.5,-1,100,5,5.63656888092002e-10,5.24786044922417e-20,1.00190673763485e-19,1.19451779467681e-18
"144",1.5,0.5,-1,100,10,4.27542532920867e-10,3.59176529290055e-20,6.1267472784877e-20,1.45993948666672e-18
"145",1.5,1,-0.5,1,1,1.48876802794211e-09,1.44826369916895e-19,3.80183977896714e-19,3.87451390829414e-19
"146",1.5,1,-0.5,1,2,1.46106906162539e-11,1.68508140586459e-22,2.06059098680833e-22,2.54775127732728e-18
"147",1.5,1,-0.5,1,5,1.36561392473145e-12,9.14329082143642e-24,7.41349288890899e-24,2.59001308775619e-18
"148",1.5,1,-0.5,1,10,7.36570310801059e-12,4.16606878705999e-23,5.22615848173064e-23,2.57078055886737e-18
"149",1.5,1,-0.5,10,1,1.58489711337424e-09,1.5802835739361e-19,4.35209497230191e-19,4.27171876588538e-19
